,index,person_id,benunit_id,household_id,pension_income,IIDB_reported,JSA_contrib_reported,is_child,DLA_M_reported,BSP_reported,maintenance_payments,total_benefits,DLA_SC_reported,childcare,earnings,state_pension_reported,is_adult,registered_disabled,savings_interest,hours,FRS_net_income,PIP_DL_reported,SDA_reported,student_loan_repayment,misc_income,age,carers_allowance_reported,incapacity_benefit_reported,profit,is_household_head,adult_weight,PIP_M_reported,care_hours,is_benunit_head,ESA_contrib_reported,dis_equality_act_core,dis_equality_act_wider,AA_reported,role,ESA_income_reported_personal
0,5,1000061,2000061,3000060,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,33340.247625328724,0.0,0.0,0.0,161.99628190779652,45.0,0.0,0.0,0.0,False,53415.303636784,0.0,0,False,0.0,False,False,0.0,adult,0.0
1,6,1000062,2000061,3000060,47892.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,30156.066672347893,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,False,38153.788311988574,0.0,0,True,0.0,False,False,0.0,adult,0.0
2,216,1001241,2001241,3001240,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,19787.160476038527,0.0,True,False,416.0,0.0,12830.376192893358,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,True,28127.552294812842,0.0,0,False,0.0,True,False,0.0,adult,0.0
3,217,1001242,2001241,3001240,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,16489.30039669877,0.0,True,False,0.0,0.0,12877.202383378371,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,True,0.0,0.0,0,False,0.0,False,False,0.0,adult,0.0
4,237,1001361,2001361,3001360,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,6181.057144021618,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,False,26253.67003341391,0.0,0,False,0.0,True,False,77.34462035421366,adult,0.0
5,254,1001461,2001461,3001460,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,16061.383336359204,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,False,23124.093473139405,0.0,0,False,0.0,False,False,0.0,adult,0.0
6,308,1001751,2001751,3001750,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,9081.06398658773,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,161.99628190779652,45.0,0.0,0.0,0.0,False,7669.3944100554245,23.623432139382036,0,True,0.0,False,True,0.0,adult,0.0
7,309,1001752,2001751,3001750,22256.0,0.0,0.0,True,0.0,0.0,0.0,1.872543846263304,0.0,0.0,0.0,0.0,True,False,52.0,64.41771217747429,27861.583338582295,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,False,22312.721772327495,0.0,0,False,0.0,True,False,0.0,adult,179.87401135549905
8,356,1002041,2002041,3002040,0.0,0.0,0.0,False,0.0,0.0,0.0,54.30377154163581,0.0,0.0,0.0,0.0,True,False,0.0,24.776043145182417,3418.311905405895,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,True,0.0,0.0,0,False,0.0,True,False,0.0,adult,0.0
9,357,1002042,2002041,3002040,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,7742.80192540638,0.0,False,False,0.0,0.0,8803.323811182305,0.0,0.0,0.0,161.99628190779652,29.0,0.0,0.0,0.0,True,29190.062855399865,0.0,0,False,86.33130944621855,False,True,0.0,adult,0.0
10,398,1002271,2002271,3002270,14508.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,156.0,0.0,15920.904764904168,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,True,0.0,0.0,0,True,0.0,False,True,0.0,child,0.0
11,399,1002272,2002271,3002270,0.0,0.0,0.0,True,56.034952860474434,0.0,0.0,240.62188424483455,0.0,0.0,7981.777293474478,9143.758814006089,True,False,52.0,0.0,21259.090480195566,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,True,0.0,0.0,0,False,0.0,False,False,0.0,adult,0.0
12,400,1002273,2002272,3002270,0.0,0.0,0.0,False,0.0,0.0,0.0,31.833245386476168,0.0,0.0,23515.17621790086,7622.560809066331,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,True,0.0,0.0,0,False,0.0,True,True,0.0,child,234.894297181887
13,412,1002331,2002331,3002330,16744.0,0.0,0.0,True,0.0,0.0,0.0,1.872543846263304,0.0,0.0,0.0,0.0,True,False,0.0,0.0,25941.709528696792,0.0,0.0,0.0,0.0,19.0,0.0,0.0,34420.343425463776,True,29170.74448157101,0.0,0,False,0.0,False,False,0.0,adult,0.0
14,413,1002332,2002331,3002330,0.0,0.0,0.0,False,0.0,0.0,0.0,141.45196214663636,0.0,0.0,0.0,0.0,True,False,364.0,0.0,21071.785718255516,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,False,0.0,0.0,0,True,0.0,False,False,0.0,adult,0.0
